region_code,sgg_name,year,net_rate,population,pagerank_lag1,closeness,house_age,childcare_pk,pop_density,seoul_dist_km,ln_pop,fertility,doctor_per1000,aging_ratio,youth_ratio,fiscal_indep,employ_rate,biz_count,sewer_supply,academy_pk,culture_facility_count,senior_fac_pk,hospital_bed,extinction_risk
11215,광진구,2019,-13.93766899103458,351350.0,0.0073811742891047,295.616688907511,15.9,15.5,20591.40013228077,10.1,12.7695,0.652,3.6,13.512413512413511,26.01871063409525,26.72,,24445.0,100.0,1.2,9.0,1.5,7.7,1.925541326143736
11215,광진구,2020,-13.779198227770694,346682.0,0.0074535601333785,299.2226194991021,18.5,16.7,20317.836694319463,10.1,12.7562,0.527,3.6,14.449223065451724,26.552498968798588,26.22,,35423.0,100.0,1.2,11.0,1.4,7.5,1.8376419859062143
11215,광진구,2021,-15.37665149001753,339996.0,0.0074250501832523,278.7355076966348,20.0,17.7,19925.927190086768,10.1,12.7367,0.525,3.8,15.11778045100398,26.794059947587773,26.11,56.85,33706.0,100.0,1.3,11.0,1.4,7.7,1.7723540856031128
11215,광진구,2022,-3.5860777200844063,337416.0,0.0071153430457655,252.07741813540028,21.6,18.1,19774.90636258093,10.1,12.7291,0.461,3.8,15.91354318247154,26.94321862858125,25.03,59.75,33325.0,100.0,1.3,13.0,1.3,7.9,1.693099916193314
11215,광진구,2023,-4.61326641911585,335554.0,0.0074980933343641,241.62053753758465,23.2,17.8,19665.79955912445,10.1,12.7235,0.449,3.9,16.813339094932275,26.939249899420364,26.1,59.6,33384.0,100.0,1.4,13.0,1.3,7.7,1.6022545995958737
11215,광진구,2024,-9.81434677961098,331963.0,0.0073070341838605,243.8505253168387,25.7,17.4,19455.347556011744,10.1,12.7128,0.462,3.6,17.859466689159063,26.831523900181946,23.21,60.25,33295.0,100.0,1.3,15.0,1.3,7.5,1.5023698281242093
11230,동대문구,2017,-13.785944268737506,350647.0,0.0066445217297317,267.6373098422146,17.7,16.2,24667.37954233033,6.7,12.7675,0.822,5.2,15.771086673815336,22.666035454358788,27.22,,32411.0,100.0,1.0,10.0,1.9,18.2,1.4371892009186091
11230,동대문구,2018,-7.774700332134279,348052.0,0.006685656742263,284.2330718159118,17.0,16.7,24484.45774877422,6.7,12.7601,0.753,5.4,16.299816407271305,22.64367783067521,25.64,,31878.0,100.0,1.0,10.0,1.8,16.3,1.3891983360360995
11230,동대문구,2019,-5.777107633292316,346194.0,0.00736746112153,277.1620367546261,17.5,16.8,24353.51602524652,6.7,12.7548,0.765,5.3,17.01179970825691,22.932162509568307,23.77,,31324.0,100.0,1.1,11.0,1.8,16.2,1.348015077936632
11230,동대문구,2020,-9.412636325717468,342837.0,0.0073579384872395,281.9693761220825,17.0,17.0,24116.91615214767,6.7,12.745,0.699,5.2,17.87987329292552,23.558065325314,23.22,,43029.0,100.0,1.0,12.0,1.7,16.1,1.3175745118191162
11230,동대문구,2021,-6.152934202726733,337400.0,0.0073270954879257,257.6564250895855,17.5,17.6,23734.144770024683,6.7,12.729,0.66,5.4,18.35797759935507,24.02571420950145,24.46,54.5,42813.0,100.0,1.1,12.0,1.7,15.7,1.3087342589602842
11230,동대문구,2022,3.463599529473272,336644.0,0.0071153024633011,232.26134535002504,19.9,18.2,23680.62354032539,6.7,12.7268,0.62,5.5,19.070534242302724,24.24987746736176,23.68,53.95,42491.0,100.0,1.2,14.0,1.7,15.5,1.271588785046729
11230,동대문구,2023,15.740922588077352,341149.0,0.0076095271437532,229.76801929523089,20.4,18.5,23997.686198427706,6.7,12.7401,0.566,5.5,19.56119009233475,24.496555767257806,23.81,53.05,42782.0,100.0,1.2,15.0,1.7,15.7,1.2523039575622257
11230,동대문구,2024,-5.216467149836894,338735.0,0.0083145213910431,228.1451842739231,22.2,18.9,23828.054826128813,6.7,12.733,0.589,5.0,20.447782343772143,24.51584714940248,21.56,54.25,43129.0,100.0,1.2,16.0,1.7,15.6,1.1989489489489489
11260,중랑구,2017,-8.725558881599898,408226.0,0.0066362543975719,268.73008972013446,10.2,14.7,22071.81781289008,10.5,12.9196,0.906,2.3,14.45862228613002,21.771465385680024,20.58,,28045.0,100.0,0.7,4.0,1.5,7.4,1.5057773109243695
11260,중랑구,2018,-13.51160316361986,403209.0,0.0064822273218355,277.8692884735571,10.5,15.5,21800.29559394772,10.5,12.9072,0.825,3.2,15.272190669874258,21.54485255822028,19.03,,28024.0,100.0,0.7,5.0,1.5,7.6,1.4107244352782604
11260,중랑구,2019,-16.336914222384546,397015.0,0.0064048491462737,273.25673258485244,12.3,16.2,21464.828471628847,10.5,12.8917,0.777,2.5,16.34165877445745,21.364126382815808,18.15,,28228.0,100.0,0.7,6.0,1.5,7.6,1.307341358528954
11260,중랑구,2020,-5.062046809998429,394702.0,0.0061867325137228,283.73748022335747,13.6,16.8,21339.762312800693,10.5,12.8859,0.66,2.6,17.515701679490654,21.50097668373435,17.48,,38558.0,100.0,0.7,6.0,1.4,8.2,1.2275258552108197
